id,visible_area,match_id,teammate,actor,keeper,location
05a57281-9295-408a-9c4f-e32d7fad4d96,"[19.844310548189934, 80.0, 47.232216164843265, 0.0, 74.19741716683136, 0.0, 101.85984465981286, 80.0, 19.844310548189934, 80.0]",3857276,True,False,False,"[30.816379294678747, 49.38221011519904]"
05a57281-9295-408a-9c4f-e32d7fad4d96,"[19.844310548189934, 80.0, 47.232216164843265, 0.0, 74.19741716683136, 0.0, 101.85984465981286, 80.0, 19.844310548189934, 80.0]",3857276,True,False,False,"[38.59223286042586, 65.062929757288]"
05a57281-9295-408a-9c4f-e32d7fad4d96,"[19.844310548189934, 80.0, 47.232216164843265, 0.0, 74.19741716683136, 0.0, 101.85984465981286, 80.0, 19.844310548189934, 80.0]",3857276,True,False,False,"[48.38151101746609, 39.35562068791638]"
05a57281-9295-408a-9c4f-e32d7fad4d96,"[19.844310548189934, 80.0, 47.232216164843265, 0.0, 74.19741716683136, 0.0, 101.85984465981286, 80.0, 19.844310548189934, 80.0]",3857276,True,False,False,"[56.47641107276629, 24.244798746220276]"
05a57281-9295-408a-9c4f-e32d7fad4d96,"[19.844310548189934, 80.0, 47.232216164843265, 0.0, 74.19741716683136, 0.0, 101.85984465981286, 80.0, 19.844310548189934, 80.0]",3857276,True,False,False,"[59.96811823850585, 11.268789077326488]"
05a57281-9295-408a-9c4f-e32d7fad4d96,"[19.844310548189934, 80.0, 47.232216164843265, 0.0, 74.19741716683136, 0.0, 101.85984465981286, 80.0, 19.844310548189934, 80.0]",3857276,True,False,False,"[60.38939438393986, 55.99777422890158]"
05a57281-9295-408a-9c4f-e32d7fad4d96,"[19.844310548189934, 80.0, 47.232216164843265, 0.0, 74.19741716683136, 0.0, 101.85984465981286, 80.0, 19.844310548189934, 80.0]",3857276,False,False,False,"[60.771255819687, 49.4155761008294]"
05a57281-9295-408a-9c4f-e32d7fad4d96,"[19.844310548189934, 80.0, 47.232216164843265, 0.0, 74.19741716683136, 0.0, 101.85984465981286, 80.0, 19.844310548189934, 80.0]",3857276,True,True,False,"[61.0, 40.099998474121094]"
05a57281-9295-408a-9c4f-e32d7fad4d96,"[19.844310548189934, 80.0, 47.232216164843265, 0.0, 74.19741716683136, 0.0, 101.85984465981286, 80.0, 19.844310548189934, 80.0]",3857276,False,False,False,"[61.06824920399342, 28.75071510493521]"
05a57281-9295-408a-9c4f-e32d7fad4d96,"[19.844310548189934, 80.0, 47.232216164843265, 0.0, 74.19741716683136, 0.0, 101.85984465981286, 80.0, 19.844310548189934, 80.0]",3857276,False,False,False,"[61.09961426590611, 13.127882474068514]"
