50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.345191,,,,,,,,,,28e07622-dd23-4af6-8439-cb9856c545db,17,,,"[26.9, 59.5]",3857276,0,,,,,1.1717907,,Left Foot,,,"[34.7, 78.0]",,Ground Pass,,20.0771,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['54660934-fc77-45b2-ae38-68bac846ecce'],12,,,,,,,,,,,,,,,,,,Morocco,788,00:00:12.122,Pass,
,,,,,,,,,,,,,,,,,,0.930362,,,,,,,,,,647c74b0-aac7-427e-94c0-67d7f948979a,20,,,"[32.4, 79.2]",3857276,0,,,,,-0.95360494,,Left Foot,,,"[36.8, 73.0]",,Ground Pass,,7.602631,,,,Sofyan Amrabat,5234.0,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Morocco,788,['f4b4b790-b02d-4d97-84fd-3c2475681994'],15,,,,,,,,,,,,,,,,,,Morocco,788,00:00:15.175,Pass,
,,,,,,,,,,,,,,,,,,0.859481,,,,,,,,,,54aec35b-3c90-48a7-8e7b-fd4528620f1f,22,,,"[36.8, 73.0]",3857276,0,,,,,0.660009,,Right Foot,,,"[43.5, 78.2]",,Ground Pass,,8.481155,,,,Hakim Ziyech,5237.0,,,,,,1,From Kick Off,Sofyan Amrabat,5234.0,Center Defensive Midfield,2,Morocco,788,['9a6a8ef5-2115-4a36-97a8-271e991b5daf'],16,,,,,,,,,,,,,,,,,,Morocco,788,00:00:16.106,Pass,
,,,,,,,,,,,,,,,,,,1.25312,,,,,,,,,,86f844fd-44b9-4377-8eae-cd2ab5242d6b,27,,,"[37.3, 78.2]",3857276,0,,,,,2.974491,,Left Foot,,,"[29.0, 79.6]",,Ground Pass,,8.417244,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Hakim Ziyech,5237.0,Right Wing,2,Morocco,788,['e4b844cb-8a85-46bd-8034-df2be5ca159d'],18,,,,,,,,,,,,,,,,,,Morocco,788,00:00:18.477,Pass,
,,,,,,,,,,,,,,,,,,0.86977,,,,,,,,,,3759dc44-44b2-434f-9527-2242d6492f7e,31,,,"[27.6, 78.0]",3857276,0,,,,,-2.9158762,,Right Foot,,,"[14.1, 74.9]",,Ground Pass,,13.851354,,,,Nayef Aguerd,12149.0,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Morocco,788,['54eb5268-181a-4c1c-bde2-7dcfa6811a2c'],20,,,,,,,,,,,,,,,,,,Morocco,788,00:00:20.724,Pass,
,,,,,,,,,,,,,,,,,,1.599999,,,,,,,,,,ca15410f-7411-4948-962c-99e415e1ed5e,34,,,"[14.1, 74.4]",3857276,0,,,,,-1.8638341,,Right Foot,,,"[7.1, 51.2]",,Ground Pass,,24.233036,,,,Yassine Bounou,6785.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['48384111-f664-4994-84e5-ef0aa6fd8476'],22,,,,,,,,,,,,,,,,,,Morocco,788,00:00:22.378,Pass,
,,,,,,,,,,,,,,,,,,2.148421,,,,,,,,,,3e5db9c7-5032-4254-a85b-81740c588e99,37,,,"[6.6, 47.7]",3857276,0,,,,,-1.4714268,,Left Foot,,,"[9.9, 14.6]",,Ground Pass,,33.264095,,,,Romain Saïss,5219.0,,,,,,1,From Kick Off,Yassine Bounou,6785.0,Goalkeeper,2,Morocco,788,['6b2de501-62a2-4dfc-b595-a4244b3bcd78'],25,,,,,,,,,,,,,,,,,,Morocco,788,00:00:25.065,Pass,
,,,,,,,,,,,,,,,,,,3.699825,,,,,,,,,,8884ba29-2e18-47ad-9e00-36ec09801f6d,40,,,"[22.7, 7.2]",3857276,0,,,,,-0.035699114,,Left Foot,,,"[92.7, 4.7]",,High Pass,,70.04463,,,,Abdelhamid Sabiri,3634.0,,,,,,1,From Kick Off,Romain Saïss,5219.0,Left Center Back,2,Morocco,788,['0e7c4e29-da3c-41eb-8784-b91cfd79444a'],30,,,,,,,,,,,,,,,,,,Morocco,788,00:00:30.091,Pass,
,,,,,,,,,,,,,,,,,,1.092497,,,,,,,,,,fc9d942a-a951-43b0-af55-6e7d173071bd,43,,,"[97.9, 4.2]",3857276,0,,,,,2.0665028,,Right Foot,,,"[90.6, 17.7]",,Ground Pass,,15.347313,,,,Sofiane Boufal,3625.0,,,,,,1,From Kick Off,Abdelhamid Sabiri,3634.0,Left Center Midfield,2,Morocco,788,['d8c63994-86f0-4747-aad3-c8b7f67340c1'],37,,,,,,,,,,,,,,,,,,Morocco,788,00:00:37.017,Pass,
,,,,,,,,,,,,,,,,,,2.650016,,,,,,,,,,26d6a7ca-42eb-45d2-b040-0c726f01a6fa,46,,,"[89.6, 17.7]",3857276,0,,,,,1.4237812,,Right Foot,,,"[98.1, 75.1]",,High Pass,,58.025944,,,,Hakim Ziyech,5237.0,,True,,,,1,From Kick Off,Sofiane Boufal,3625.0,Left Wing,2,Morocco,788,['404db261-766e-4498-8fb2-a446494fca90'],39,,,,,,,,,,,,,,,,,,Morocco,788,00:00:39.608,Pass,
